Time__CET_CEST_,Day_ahead_Total_Load_Forecast__MW____BZN_NL,Actual_Total_Load__MW____BZN_NL
03.01.2024 18:15 - 03.01.2024 18:30,13632.0,16636.0
03.01.2024 18:30 - 03.01.2024 18:45,13384.0,16452.0
03.01.2024 18:45 - 03.01.2024 19:00,13191.0,16318.0
03.01.2024 19:00 - 03.01.2024 19:15,13031.0,16185.0
03.01.2024 19:15 - 03.01.2024 19:30,12829.0,16016.0
03.01.2024 19:30 - 03.01.2024 19:45,12638.0,15847.0
03.01.2024 19:45 - 03.01.2024 20:00,12510.0,15760.0
03.01.2024 20:00 - 03.01.2024 20:15,12481.0,15581.0
03.01.2024 20:15 - 03.01.2024 20:30,12464.0,15433.0
03.01.2024 20:30 - 03.01.2024 20:45,12319.0,15225.0
03.01.2024 20:45 - 03.01.2024 21:00,12123.0,15041.0
03.01.2024 21:00 - 03.01.2024 21:15,12008.0,14830.0
03.01.2024 21:15 - 03.01.2024 21:30,11947.0,14671.0
03.01.2024 21:30 - 03.01.2024 21:45,11830.0,14460.0
03.01.2024 21:45 - 03.01.2024 22:00,11717.0,14263.0
03.01.2024 22:00 - 03.01.2024 22:15,11611.0,14018.0
03.01.2024 22:15 - 03.01.2024 22:30,11436.0,13841.0
03.01.2024 22:30 - 03.01.2024 22:45,11304.0,13647.0
03.01.2024 22:45 - 03.01.2024 23:00,11156.0,13426.0
03.01.2024 23:00 - 03.01.2024 23:15,11010.0,13283.0
03.01.2024 23:15 - 03.01.2024 23:30,10848.0,13060.0
03.01.2024 23:30 - 03.01.2024 23:45,10701.0,12842.0
03.01.2024 23:45 - 04.01.2024 00:00,10533.0,12695.0
04.01.2024 00:00 - 04.01.2024 00:15,10465.0,12510.0
04.01.2024 00:15 - 04.01.2024 00:30,10507.0,12421.0
04.01.2024 00:30 - 04.01.2024 00:45,10388.0,12319.0
04.01.2024 00:45 - 04.01.2024 01:00,10359.0,12222.0
04.01.2024 01:00 - 04.01.2024 01:15,10267.0,12152.0
04.01.2024 01:15 - 04.01.2024 01:30,10177.0,12064.0
04.01.2024 01:30 - 04.01.2024 01:45,10072.0,11963.0
04.01.2024 01:45 - 04.01.2024 02:00,10000.0,11860.0
04.01.2024 02:00 - 04.01.2024 02:15,9889.0,11760.0
04.01.2024 02:15 - 04.01.2024 02:30,9767.0,11665.0
04.01.2024 02:30 - 04.01.2024 02:45,9752.0,11571.0
04.01.2024 02:45 - 04.01.2024 03:00,9721.0,11516.0
04.01.2024 03:00 - 04.01.2024 03:15,9679.0,11555.0
04.01.2024 03:15 - 04.01.2024 03:30,9676.0,11555.0
04.01.2024 03:30 - 04.01.2024 03:45,9667.0,11540.0
04.01.2024 03:45 - 04.01.2024 04:00,9645.0,11474.0
04.01.2024 04:00 - 04.01.2024 04:15,9716.0,11486.0
04.01.2024 04:15 - 04.01.2024 04:30,9793.0,11462.0
04.01.2024 04:30 - 04.01.2024 04:45,9815.0,11484.0
04.01.2024 04:45 - 04.01.2024 05:00,9814.0,11516.0
04.01.2024 05:00 - 04.01.2024 05:15,9866.0,11581.0
04.01.2024 05:15 - 04.01.2024 05:30,9988.0,11703.0
04.01.2024 05:30 - 04.01.2024 05:45,10122.0,11844.0
04.01.2024 05:45 - 04.01.2024 06:00,10258.0,11943.0
04.01.2024 06:00 - 04.01.2024 06:15,10471.0,12383.0
04.01.2024 06:15 - 04.01.2024 06:30,10749.0,12634.0
04.01.2024 06:30 - 04.01.2024 06:45,10952.0,12865.0
04.01.2024 06:45 - 04.01.2024 07:00,11150.0,13179.0
04.01.2024 07:00 - 04.01.2024 07:15,11448.0,13774.0
04.01.2024 07:15 - 04.01.2024 07:30,11845.0,14160.0
04.01.2024 07:30 - 04.01.2024 07:45,12207.0,14546.0
04.01.2024 07:45 - 04.01.2024 08:00,12456.0,14892.0
04.01.2024 08:00 - 04.01.2024 08:15,12776.0,15283.0
04.01.2024 08:15 - 04.01.2024 08:30,13143.0,15571.0
04.01.2024 08:30 - 04.01.2024 08:45,13425.0,15814.0
